epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.604,1.40448,3.42571,1.79529,0.04255,0.68182,0.05351,0.0179,1.88903,43.3841,2.48624,0.00052,0.00052,0.00052
2,29.0587,1.81601,3.54836,2.08636,0.03581,0.22727,0.02302,0.00735,2.78197,3.76289,3.74801,0.0010565,0.0010565,0.0010565
3,43.6344,2.20988,3.78565,2.3426,0.00134,0.36364,0.00143,0.00034,3.5678,5.4688,4.38866,0.00158944,0.00158944,0.00158944
4,58.1462,2.4237,3.67352,2.58565,0.00353,0.09091,0.0013,0.00019,4.06283,40.3201,9.29886,0.0019802,0.0019802,0.0019802
5,72.688,2.78127,3.51489,2.76256,0,0,0,0,nan,nan,nan,0.0019736,0.0019736,0.0019736
6,87.2788,2.7761,3.34393,2.84493,0.00351,0.45455,0.0027,0.0006,nan,nan,nan,0.001967,0.001967,0.001967
7,101.746,2.61602,3.07518,2.86634,0.00575,0.04545,0.00212,0.00063,nan,nan,nan,0.0019604,0.0019604,0.0019604
8,116.132,2.63981,3.09556,2.93602,0,0,0,0,nan,nan,nan,0.0019538,0.0019538,0.0019538
9,130.653,2.54529,3.03902,2.83791,0.0087,0.18182,0.00508,0.00149,nan,nan,nan,0.0019472,0.0019472,0.0019472
10,145.081,2.45728,2.99366,2.89349,0.03704,0.04545,0.01313,0.00196,nan,nan,nan,0.0019406,0.0019406,0.0019406
11,159.541,2.44826,3.00263,2.85549,0.04348,0.04545,0.02273,0.00227,nan,nan,nan,0.001934,0.001934,0.001934
12,173.956,2.51801,2.88696,2.84175,0.03333,0.04545,0.01788,0.00179,0,7.91992,0,0.0019274,0.0019274,0.0019274
13,188.499,2.35215,2.89522,2.81287,0,0,0,0,nan,nan,nan,0.0019208,0.0019208,0.0019208
14,203.006,2.34971,2.98547,2.81058,0.00081,0.09091,0.00047,0.00014,4.94252,211.063,156.62,0.0019142,0.0019142,0.0019142
15,217.487,2.31424,2.9113,2.69905,0.00129,0.18182,0.00119,0.00037,4.69662,12.8456,23.5557,0.0019076,0.0019076,0.0019076
16,231.98,2.30297,2.83126,2.6793,0.0055,0.63636,0.01275,0.0034,2.85912,4.0929,3.87111,0.001901,0.001901,0.001901
17,246.446,2.29159,2.86461,2.68259,0.00639,0.77273,0.03107,0.00766,2.84125,3.48331,3.45665,0.0018944,0.0018944,0.0018944
18,260.881,2.15528,2.85176,2.54461,0.03375,0.22727,0.0497,0.0139,3.29717,3.52874,4.32761,0.0018878,0.0018878,0.0018878
19,275.42,2.23724,2.80102,2.57195,0.02909,0.18182,0.07068,0.03319,3.20333,3.46282,3.92865,0.0018812,0.0018812,0.0018812
20,290.758,2.10338,2.72023,2.44092,0.03061,0.22727,0.01948,0.00486,3.32674,3.54732,4.02921,0.0018746,0.0018746,0.0018746
21,305.166,2.18106,2.67713,2.51332,0.22999,0.18182,0.15145,0.03254,2.13794,2.4957,2.89099,0.001868,0.001868,0.001868
22,320.574,2.05887,2.6539,2.39181,0.23283,0.22727,0.11986,0.02835,1.8922,1.92326,2.43444,0.0018614,0.0018614,0.0018614
23,335.091,2.04385,2.61754,2.41333,0.14348,0.18182,0.06551,0.01889,1.96866,2.23712,2.51087,0.0018548,0.0018548,0.0018548
24,349.538,2.05573,2.60235,2.40136,0.18161,0.05116,0.10077,0.01928,2.98488,3.00448,3.25937,0.0018482,0.0018482,0.0018482
25,364.065,1.95304,2.59786,2.34658,0.03495,0.09091,0.00893,0.00301,1.2265,1.81024,1.44099,0.0018416,0.0018416,0.0018416
26,378.559,1.99382,2.56722,2.36919,0.003,0.13636,0.00155,0.00055,3.0788,20.6555,4.34911,0.001835,0.001835,0.001835
27,393.185,2.00986,2.48101,2.37998,0.00093,0.22727,0.0006,0.00027,3.73659,inf,8.36219,0.0018284,0.0018284,0.0018284
28,407.661,2.02485,2.53251,2.34341,0.00084,0.18182,0.00061,0.00021,4.17459,1436.24,6.78453,0.0018218,0.0018218,0.0018218
29,422.109,1.98761,2.46743,2.30709,0.00132,0.18182,0.0011,0.00047,3.59478,267.1,6.24162,0.0018152,0.0018152,0.0018152
30,436.684,2.00249,2.44517,2.33075,0.15059,0.36364,0.1765,0.04838,2.44494,3.24312,3.01727,0.0018086,0.0018086,0.0018086
31,451.908,1.87894,2.27931,2.21394,0.31803,0.18182,0.17198,0.05384,2.14279,2.82807,2.66521,0.001802,0.001802,0.001802
32,467.192,1.97308,2.46023,2.27998,0.35194,0.22727,0.18558,0.07522,2.12955,2.74743,2.74906,0.0017954,0.0017954,0.0017954
33,482.701,1.8479,2.34534,2.21419,0.33988,0.31818,0.24146,0.06599,2.29433,3.1467,3.09045,0.0017888,0.0017888,0.0017888
34,497.21,1.95085,2.42354,2.27002,0.15488,0.54545,0.17705,0.05338,2.093,2.92561,2.7112,0.0017822,0.0017822,0.0017822
35,511.647,1.83865,2.25204,2.17819,0.18924,0.40909,0.17841,0.06755,1.83272,2.72229,2.59041,0.0017756,0.0017756,0.0017756
36,526.181,1.86772,2.23385,2.1962,0.26814,0.59091,0.24336,0.07386,1.78987,2.64932,2.42644,0.001769,0.001769,0.001769
37,541.719,1.86908,2.3946,2.17715,0.25067,0.22727,0.13558,0.04301,2.17606,3.51283,2.87383,0.0017624,0.0017624,0.0017624
38,556.181,1.75055,2.21284,2.09296,0.32461,0.22727,0.23059,0.08358,2.10117,2.9252,2.71618,0.0017558,0.0017558,0.0017558
39,571.545,1.80231,2.18256,2.09065,0.32399,0.36364,0.22526,0.08546,2.03633,2.42613,2.62781,0.0017492,0.0017492,0.0017492
40,587.12,1.77186,2.26563,2.09907,0.16188,0.27273,0.22266,0.0973,2.12513,2.29979,2.67501,0.0017426,0.0017426,0.0017426
41,602.609,1.88152,2.25456,2.18562,0.24319,0.36364,0.23102,0.09718,1.9542,2.51417,2.57785,0.001736,0.001736,0.001736
42,617.995,1.80537,2.10675,2.12129,0.43859,0.18182,0.24128,0.1111,1.9063,2.55571,2.48507,0.0017294,0.0017294,0.0017294
43,633.266,1.69173,2.18561,2.08098,0.24017,0.22727,0.17862,0.05903,1.91835,3.3665,2.4789,0.0017228,0.0017228,0.0017228
44,647.773,1.69794,2.06394,2.04847,0.18839,0.40909,0.20951,0.09561,1.9841,2.73129,2.62539,0.0017162,0.0017162,0.0017162
45,662.241,1.78133,2.07207,2.11606,0.23895,0.31818,0.2392,0.07859,1.98887,3.19366,2.62985,0.0017096,0.0017096,0.0017096
46,676.726,1.74545,2.09568,2.03267,0.21789,0.45455,0.2262,0.0996,1.95251,2.67051,2.56517,0.001703,0.001703,0.001703
47,691.206,1.7462,2.09646,2.07459,0.11304,0.60257,0.08627,0.03001,2.05268,4.201,2.69221,0.0016964,0.0016964,0.0016964
48,705.692,1.71184,2.05867,2.09336,0.12314,0.27273,0.10041,0.03468,2.06844,3.44723,2.7149,0.0016898,0.0016898,0.0016898
49,720.127,1.75846,2.12505,2.0567,0.20567,0.40909,0.18322,0.07778,1.90685,2.62613,2.58702,0.0016832,0.0016832,0.0016832
50,734.616,1.71613,2.07295,2.03933,0.22435,0.40909,0.21235,0.09897,1.9966,2.70248,2.63748,0.0016766,0.0016766,0.0016766
51,749.101,1.66911,2.01353,1.98103,0.50897,0.54545,0.4019,0.15999,1.89863,2.37464,2.46532,0.00167,0.00167,0.00167
52,764.737,1.48484,1.84737,1.80906,0.47952,0.54446,0.47454,0.1989,1.89126,2.08909,2.42579,0.0016634,0.0016634,0.0016634
