epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,4218.02,2.74996,3.06887,3.12448,0.00397,1,0.06193,0.01725,2.53141,3.48903,3.23389,0.00182972,0.00182972,0.00182972
45,4329.11,2.73669,3.01217,3.1613,0.00373,1,0.0545,0.01671,2.53958,4.45432,3.28871,0.00182576,0.00182576,0.00182576
46,4446.17,2.70767,3.18054,3.09979,0.00393,1,0.08965,0.02186,2.53594,4.08405,3.256,0.0018218,0.0018218,0.0018218
47,4533.98,2.58007,3.12169,3.05217,0.00445,1,0.10269,0.02695,2.6145,2.99164,3.25782,0.00181784,0.00181784,0.00181784
48,4649.66,2.61858,3.03958,3.05739,0.0354,0.59091,0.12148,0.04461,2.70578,2.71783,3.16511,0.00181388,0.00181388,0.00181388
49,4768.57,2.67823,3.13983,3.11079,0.04382,0.54545,0.09314,0.02914,2.6425,2.90118,3.18542,0.00180992,0.00180992,0.00180992
50,4838.06,2.67167,3.26537,3.09726,0.04138,0.54545,0.14216,0.0358,2.55963,2.953,3.16974,0.00180596,0.00180596,0.00180596
51,4920.05,2.63217,3.08651,3.12177,0.00997,0.86364,0.08063,0.02372,2.47627,3.29123,3.23877,0.001802,0.001802,0.001802
52,5005.8,2.5069,3.06149,3.08947,0.00913,0.90909,0.07911,0.02091,2.43048,3.25522,3.18483,0.00179804,0.00179804,0.00179804
53,5075.32,2.53379,3.05781,3.0722,0.01376,0.81818,0.07594,0.01926,2.39521,3.50633,3.16294,0.00179408,0.00179408,0.00179408
54,5177.84,2.47969,3.08313,3.05721,0.02592,0.63636,0.06061,0.0177,2.3567,3.54816,3.13365,0.00179012,0.00179012,0.00179012
55,5262.16,2.46267,3.09816,3.04803,0.00865,0.90909,0.07609,0.019,2.36011,3.4126,3.13567,0.00178616,0.00178616,0.00178616
56,5348.28,2.48111,3.14854,3.02572,0.00392,1,0.0636,0.01804,2.39408,3.51073,3.16893,0.0017822,0.0017822,0.0017822
57,5476.04,2.49982,3.07762,3.05471,0.00392,1,0.07102,0.0208,2.43706,3.32136,3.1534,0.00177824,0.00177824,0.00177824
58,5565.29,2.58273,3.07002,3.06839,0.00408,1,0.09388,0.02864,2.44849,3.03566,3.11308,0.00177428,0.00177428,0.00177428
59,5681.48,2.46319,3.08631,2.95097,0.00625,0.95455,0.10386,0.03374,2.44106,2.92546,3.0577,0.00177032,0.00177032,0.00177032
60,5755.98,2.4804,3.04688,2.98275,0.011,0.86364,0.07605,0.02732,2.44448,3.00018,3.06638,0.00176636,0.00176636,0.00176636
61,5830.35,2.47163,2.9657,3.00544,0.01463,0.81818,0.0749,0.0247,2.46982,3.12108,3.12353,0.0017624,0.0017624,0.0017624
62,5941.35,2.52598,2.93564,3.00285,0.00428,0.95455,0.04291,0.01346,2.58801,2.8859,3.10493,0.00175844,0.00175844,0.00175844
63,6015.6,2.60013,3.02347,3.00041,0.01499,0.90909,0.10148,0.03039,2.56812,2.7566,3.06947,0.00175448,0.00175448,0.00175448
64,6104.33,2.49237,3.0997,2.97999,0.04234,0.5,0.08925,0.02612,2.49707,2.82532,3.072,0.00175052,0.00175052,0.00175052
65,6190.39,2.573,3.12383,2.95078,0.02603,0.5,0.0366,0.01214,2.44786,2.92227,3.06442,0.00174656,0.00174656,0.00174656
66,6315.78,2.47275,3.06476,2.991,0.01578,0.68182,0.03795,0.0108,2.40325,2.96154,3.01304,0.0017426,0.0017426,0.0017426
67,6437.63,2.46965,3.03753,2.99979,0.00734,0.90909,0.04403,0.01125,2.39033,3.193,3.0069,0.00173864,0.00173864,0.00173864
68,6524.34,2.38233,2.97465,2.94562,0.0038,0.90909,0.03445,0.00915,2.39259,3.34338,2.99941,0.00173468,0.00173468,0.00173468
69,6637.45,2.39631,3.00335,2.90324,0.00385,0.90909,0.05993,0.01755,2.3239,3.13081,2.99213,0.00173072,0.00173072,0.00173072
70,6697.84,2.51757,3.07395,3.02665,0.00389,0.90909,0.06995,0.02426,2.39152,3.09752,3.07801,0.00172676,0.00172676,0.00172676
71,6779.61,2.48771,3.12725,2.93637,0.0041,0.90909,0.08856,0.02929,2.44776,2.8484,3.05345,0.0017228,0.0017228,0.0017228
72,6870.49,2.48622,3.0133,2.92945,0.03346,0.59091,0.07791,0.02493,2.47679,2.76135,3.05635,0.00171884,0.00171884,0.00171884
73,6960.15,2.46898,2.96054,2.98069,0.06748,0.45455,0.07254,0.02356,2.43501,2.84332,3.06254,0.00171488,0.00171488,0.00171488
74,7040.08,2.3902,3.09866,2.93049,0.06856,0.45455,0.06514,0.02076,2.45684,2.98273,3.07166,0.00171092,0.00171092,0.00171092
75,7122.82,2.51564,3.04417,2.94361,0.05499,0.5,0.06676,0.01996,2.46638,2.95768,3.08439,0.00170696,0.00170696,0.00170696
76,7233.95,2.44533,3.03212,2.86009,0.01452,0.77273,0.0474,0.01535,2.43719,2.89704,3.06221,0.001703,0.001703,0.001703
77,7316.19,2.54052,2.97997,2.87718,0.00433,1,0.05248,0.01731,2.3919,2.86199,3.00555,0.00169904,0.00169904,0.00169904
78,7410.87,2.49095,2.99458,2.93862,0.02361,0.63636,0.05572,0.01945,2.35825,2.75559,2.94437,0.00169508,0.00169508,0.00169508
79,7478.02,2.48053,2.97242,2.89069,0.03837,0.31818,0.03314,0.01005,2.42664,3.5666,3.2584,0.00169112,0.00169112,0.00169112
80,7569.56,2.42865,3.0414,2.86475,0.02539,0.18182,0.02205,0.00648,2.48088,4.10863,3.4194,0.00168716,0.00168716,0.00168716
81,7655.69,2.42285,2.94016,2.91831,0.02087,0.13636,0.01748,0.0055,2.49986,4.84444,3.49039,0.0016832,0.0016832,0.0016832
82,7713.79,2.52432,3.00856,2.95031,0.01761,0.22727,0.01739,0.00536,2.53561,5.38696,3.51365,0.00167924,0.00167924,0.00167924
83,7795.3,2.47707,2.96032,2.9722,0.01822,0.77273,0.02732,0.00881,2.48651,3.27923,3.35693,0.00167528,0.00167528,0.00167528
