epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6952,1.20291,3.72862,1.62214,0.17178,0.27273,0.16705,0.10324,1.11231,4.26874,1.7581,0.00018,0.00018,0.00018
2,31.744,1.12931,2.30592,1.59099,0.48772,0.77273,0.55708,0.31654,1.71941,7.25751,2.51208,0.000372476,0.000372476,0.000372476
3,47.1088,1.48425,2.36301,1.87822,0.28571,0.09091,0.11111,0.04628,2.49057,30.4766,6.44348,0.000557032,0.000557032,0.000557032
4,68.4918,1.70503,2.33262,2.06095,0.18519,0.45455,0.1199,0.03552,3.04945,46.9282,16.8701,0.000733668,0.000733668,0.000733668
5,91.1324,1.86052,2.90018,2.32615,0.03165,0.22727,0.01965,0.00533,3.22263,98.1806,11.6965,0.000902384,0.000902384,0.000902384
6,112.589,2.0565,2.43782,2.49034,0.01356,0.81818,0.01625,0.00594,2.44426,inf,13.3929,0.00106318,0.00106318,0.00106318
7,130.715,1.98808,2.42064,2.36858,0.01283,0.77273,0.01335,0.00546,2.30509,inf,17.8081,0.00121606,0.00121606,0.00121606
8,152.112,2.06956,2.53293,2.57629,0.00561,1,0.00692,0.0026,2.25122,inf,38.6219,0.00136101,0.00136101,0.00136101
9,184.176,2.16795,2.46967,2.63365,0.00698,0.90909,0.00778,0.00406,2.6013,inf,23.8129,0.00149805,0.00149805,0.00149805
10,217.563,2.15758,2.55058,2.72162,0.00876,1,0.01001,0.0037,2.58492,inf,32.6384,0.00162716,0.00162716,0.00162716
11,249.652,2.22102,2.49445,2.76382,0.07937,0.45455,0.05763,0.02396,2.36016,88.0023,5.52702,0.001604,0.001604,0.001604
12,279.677,2.22088,2.37423,2.64431,0.02862,0.77273,0.03098,0.00953,2.79042,211.278,11.9798,0.0015644,0.0015644,0.0015644
13,308.921,2.15039,2.35535,2.43854,0.01483,0.77273,0.01784,0.00697,3.13707,inf,27.9609,0.0015248,0.0015248,0.0015248
14,327.091,1.8953,2.14674,2.26366,0.01044,0.72727,0.01264,0.00278,3.50225,inf,25.1967,0.0014852,0.0014852,0.0014852
15,349.747,1.9833,2.23475,2.34764,0.01923,0.90909,0.01988,0.00535,2.95328,432.2,10.292,0.0014456,0.0014456,0.0014456
16,374.887,1.97441,2.18298,2.2696,0.01287,0.63636,0.01074,0.0028,3.70895,389.74,22.3355,0.001406,0.001406,0.001406
17,397.379,2.03539,2.22495,2.44134,0.02407,0.59091,0.07106,0.0188,3.22522,239.511,8.43526,0.0013664,0.0013664,0.0013664
18,419.472,1.9586,2.02333,2.30264,0.01849,0.54545,0.06149,0.02164,3.37537,256.122,8.7301,0.0013268,0.0013268,0.0013268
19,441.837,1.82649,1.9945,2.21284,0.06186,0.27273,0.09774,0.02638,3.05598,59.0692,5.3111,0.0012872,0.0012872,0.0012872
20,465.615,1.84939,1.99697,2.22607,0.10548,0.31818,0.09933,0.02054,2.8464,17.3638,4.17615,0.0012476,0.0012476,0.0012476
21,488.342,1.78949,1.94717,2.17513,0.08912,0.18182,0.07566,0.02123,2.76827,16.2061,3.53319,0.001208,0.001208,0.001208
22,510.444,1.79225,1.84037,2.13901,0.23766,0.18182,0.14913,0.04796,2.854,9.21336,3.66325,0.0011684,0.0011684,0.0011684
23,535.115,1.72464,1.76862,2.14304,0.14936,0.26358,0.11108,0.03271,2.60091,5.0759,4.46734,0.0011288,0.0011288,0.0011288
24,559.57,1.79858,1.87002,2.23503,0.4721,0.13636,0.16862,0.06777,2.39055,2.97714,3.63011,0.0010892,0.0010892,0.0010892
25,584.379,1.80377,1.91183,2.17747,0.36721,0.5,0.41746,0.17365,2.4569,2.49715,3.12057,0.0010496,0.0010496,0.0010496
26,602.113,1.79627,1.82543,2.17458,0.51151,0.59091,0.49151,0.17805,2.42055,2.14666,2.94989,0.00101,0.00101,0.00101
27,626.885,1.65193,1.64589,2.13344,0.44697,0.69831,0.46273,0.21971,1.77464,2.54184,2.49897,0.0009704,0.0009704,0.0009704
28,656.398,1.62152,1.66977,2.05867,0.25554,0.63636,0.35392,0.14524,1.84,2.26571,2.51654,0.0009308,0.0009308,0.0009308
