epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.9084,0.98605,3.18554,1.46999,0.92132,0.09091,0.14666,0.1183,0.99084,3.37868,1.71628,0.00018,0.00018,0.00018
2,64.5927,1.07183,2.746,1.59786,0.37453,0.22727,0.27528,0.12547,1.42848,26.3353,2.2144,0.000372476,0.000372476,0.000372476
3,101.775,1.32948,2.71628,1.6844,0.07878,0.59091,0.06309,0.03197,1.85032,40.2603,2.79414,0.000557032,0.000557032,0.000557032
4,145.992,1.35683,2.31761,1.76585,0.38235,0.59091,0.27848,0.11633,1.76531,37.0021,3.12744,0.000733668,0.000733668,0.000733668
5,215.047,1.74361,2.91665,2.12853,0.03365,0.95455,0.05762,0.01588,2.61798,329.959,21.351,0.000902384,0.000902384,0.000902384
6,256.077,1.7805,2.53513,2.19023,0.01169,0.77273,0.01104,0.00496,2.65871,669.938,17.3791,0.00106318,0.00106318,0.00106318
7,283.996,1.64144,2.61135,2.13698,0.0118,1,0.01255,0.00613,1.89333,413.2,9.0087,0.00121606,0.00121606,0.00121606
8,324.066,1.72267,2.40039,2.19052,0.01848,0.77273,0.02979,0.01107,2.05962,588.424,7.24427,0.00136101,0.00136101,0.00136101
9,362.943,1.73172,2.37768,2.23008,0.00946,0.72727,0.00885,0.00396,2.36735,inf,21.7331,0.00149805,0.00149805,0.00149805
10,422.667,1.86715,2.32681,2.37609,0.00207,0.5,0.00209,0.00052,3.67034,inf,190.011,0.00162716,0.00162716,0.00162716
11,482.788,1.89251,2.36598,2.38428,0.00152,0.40909,0.00137,0.00034,3.00614,inf,38.6986,0.001604,0.001604,0.001604
12,532.722,1.91777,2.25597,2.43369,0.00585,0.54545,0.00545,0.00193,2.87381,inf,6.25926,0.0015644,0.0015644,0.0015644
13,568.937,1.86007,2.23517,2.27205,0.00316,0.63636,0.00292,0.00091,3.01913,inf,28.3397,0.0015248,0.0015248,0.0015248
14,605.74,2.02307,2.20266,2.43951,0,0,0,0,3.99614,inf,204.624,0.0014852,0.0014852,0.0014852
15,645.597,2.2391,2.3682,2.47449,0.00139,0.36364,0.00119,0.00028,3.71871,inf,48.2011,0.0014456,0.0014456,0.0014456
16,682.556,1.96553,2.34701,2.37751,0.00135,0.36364,0.00094,0.00024,3.97855,inf,14.5524,0.001406,0.001406,0.001406
17,724.652,1.79637,2.23918,2.22321,0.00241,0.13636,0.00171,0.00078,4.25865,774.959,17.0338,0.0013664,0.0013664,0.0013664
18,768.76,1.93833,2.18752,2.32316,0.00276,0.31818,0.00357,0.00068,5.15435,inf,90.913,0.0013268,0.0013268,0.0013268
19,804.975,1.74292,2.10525,2.22474,0.00265,0.31818,0.00151,0.00038,4.92412,inf,80.1019,0.0012872,0.0012872,0.0012872
20,837.816,1.65729,2.09429,2.17842,0.0156,0.13636,0.0063,0.00195,3.58151,9.7826,4.39413,0.0012476,0.0012476,0.0012476
21,871.051,1.54115,2.06711,1.97391,0.2241,0.5,0.23942,0.09052,1.90976,6.12951,2.71148,0.001208,0.001208,0.001208
22,911.078,1.61883,1.96639,2.08089,0.16464,0.31818,0.11604,0.04717,1.85498,5.68958,2.44701,0.0011684,0.0011684,0.0011684
23,947.874,1.60541,1.85319,2.03976,0.04743,0.45455,0.03517,0.00992,2.07968,20.0237,3.04122,0.0011288,0.0011288,0.0011288
24,992.097,1.61224,1.88354,2.09191,0.06383,0.13636,0.04549,0.01502,2.04083,29.8575,3.73052,0.0010892,0.0010892,0.0010892
25,1025.99,1.72874,1.91371,2.13618,0.05085,0.13636,0.05021,0.01684,2.09812,40.0167,4.26576,0.0010496,0.0010496,0.0010496
26,1057.48,1.59808,1.81128,2.03288,0.1133,0.22727,0.0782,0.03925,2.15464,5.43245,2.99859,0.00101,0.00101,0.00101
27,1090.91,1.46418,1.72817,1.91594,0.24173,0.22727,0.1835,0.10422,2.00343,6.08627,2.80631,0.0009704,0.0009704,0.0009704
28,1126.76,1.40498,1.76417,1.78653,0.34548,0.22727,0.24417,0.14156,1.87102,5.22565,2.69858,0.0009308,0.0009308,0.0009308
29,1172.17,1.54108,1.80589,2.03308,0.42087,0.36364,0.30802,0.14607,1.70269,3.58293,2.51486,0.0008912,0.0008912,0.0008912
30,1206.27,1.45951,1.66133,1.84829,0.60677,0.31818,0.4091,0.18729,1.4588,2.11687,2.09334,0.0008516,0.0008516,0.0008516
31,1243.88,1.29826,1.51022,1.72727,0.59811,0.40909,0.40761,0.20793,1.31554,2.10932,1.96514,0.000812,0.000812,0.000812
32,1281.07,1.34616,1.60144,1.80457,0.27314,0.40909,0.21355,0.12002,1.40802,2.27401,2.02365,0.0007724,0.0007724,0.0007724
